"","Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
"247",247,"SPX230616C04425000",14.2,15.1,21,5736,-2.0100002,-14.450037,2023-04-14 13:34:07,11.9,0.139382385559082,FALSE,4425,TRUE,1e-05,321.04,2023-04-05 14:36:42,0,0,1186,200,268.3,263,"SPX230616P04425000"
"248",248,"SPX230616C04430000",13.5,14.4,87,460,0,0,2023-04-13 10:04:22,10.7,0.139035251579285,FALSE,4430,TRUE,1e-05,389.2,2023-03-29 15:01:29,0,0,15,NA,272.5,267.3,"SPX230616P04430000"
"249",249,"SPX230616C04440000",12.2,13.1,76,460,0,0,2023-04-13 14:45:06,15,0.138421091461182,FALSE,4440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",250,"SPXW230616C04450000",11.4,12,21,485,-4.3900003,-30.720785,2023-04-14 14:11:05,9.9,0.138146436004639,FALSE,4450,TRUE,1e-05,310.1,2023-04-11 15:25:52,0,0,4949,2,289.9,284.5,"SPX230616P04450000"
"251",251,"SPX230616C04460000",10,10.8,194,1562,-0.119999886,-1.2121202,2023-04-14 15:54:23,9.78,0.137288137702942,FALSE,4460,TRUE,0.47036891330719,382.02,2023-02-17 11:08:52,0,0,1,2,520,508.7,"SPXW230616P04460000"
"252",252,"SPXW230616C04470000",9.3,10.1,27,275,0,0,2023-04-13 15:48:14,11.4,0.137864151229858,FALSE,4470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",253,"SPXW230616C04475000",8.8,9.6,35,274,-2.7399998,-25.512102,2023-04-14 13:22:15,8,0.137551349182129,FALSE,4475,TRUE,1e-05,337.34,2023-04-04 10:28:25,0,0,744,75,312.2,306.7,"SPX230616P04475000"
"254",254,"SPXW230616C04480000",8.4,9.2,2,470,0,0,2023-04-12 09:36:36,10.49,0.137539905204773,FALSE,4480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",255,"SPXW230616C04490000",7.6,8.3,51,469,0.9000001,14.516131,2023-04-14 15:28:02,7.1,0.136956262359619,FALSE,4490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",256,"SPXW230616C04500000",7,7.4,105,911,-1.77,-20.82353,2023-04-14 15:55:11,6.73,0.136071261444092,FALSE,4500,TRUE,1e-05,389.78,2023-04-06 11:37:06,0,0,11,1,334.1,331,"SPXW230616P04500000"
"257",257,"SPX230616C04525000",5.1,5.8,42,8497,-1.4000001,-21.212124,2023-04-14 16:01:46,5.2,0.135491433258057,FALSE,4525,TRUE,1e-05,423.7,2023-04-10 09:52:17,0,0,4618,1,358.4,352.6,"SPX230616P04525000"
"258",258,"SPX230616C04550000",3.9,4.5,336,14494,-1.0999999,-21.153845,2023-04-14 16:00:30,4.1,0.134881087799072,FALSE,4550,TRUE,1e-05,469.38,2023-03-30 11:21:35,0,0,3,NA,380.8,377.7,"SPXW230616P04550000"
"259",259,"SPXW230616C04575000",3.1,3.7,1,521,1.6200001,57.446815,2023-04-14 09:44:00,4.44,0.135949192352295,FALSE,4575,TRUE,0.402982959976196,690.29,2022-12-23 13:46:39,0,0,708,624,559.9,548,"SPX230616P04575000"
"260",260,"SPX230616C04580000",2.9,3.4,100,4352,0.6999998,17.948713,2023-04-14 09:53:42,4.6,0.135064191436768,FALSE,4580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",261,"SPXW230616C04600000",2.45,2.8,30,933,-0.5700002,-19.520554,2023-04-14 13:08:20,2.35,0.135109967346191,FALSE,4600,TRUE,1e-05,517.09,2023-03-30 11:21:35,0,0,9,6,428.7,425.5,"SPXW230616P04600000"
"262",262,"SPX230616C04620000",1.75,2.55,4,893,0,0,2023-04-13 14:25:47,2.65,0.137475055999756,FALSE,4620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",263,"SPX230616C04625000",1.85,2.2,185,2637,0,0,2023-04-13 16:00:10,2.6,0.135323588256836,FALSE,4625,TRUE,1e-05,735.31,2023-03-10 13:52:52,0,0,0,NA,0,0,"SPXW230616P04625000"
"264",264,"SPX230616C04650000",1.45,1.75,109,7087,-0.54999995,-26.190475,2023-04-14 16:01:46,1.55,0.135872899169922,FALSE,4650,TRUE,0.535363075370789,472.85,2023-02-15 15:26:49,0,0,2,NA,715.3,679.3,"SPXW230616P04650000"
"265",265,"SPX230616C04675000",1.15,1.4,642,4256,0,0,2023-04-13 10:29:36,1.28,0.136605313720703,FALSE,4675,TRUE,1e-05,563.83,2023-04-10 11:00:10,0,0,675,1,503,497.1,"SPX230616P04675000"
"266",266,"SPX230616C04700000",0.9,1.1,1641,21218,-0.45,-32.142857,2023-04-14 15:39:47,0.95,0.137032555541992,FALSE,4700,TRUE,0.178520788116455,602.19,2023-03-06 14:01:16,0,0,6,NA,568,562.3,"SPXW230616P04700000"
"267",267,"SPXW230616C04725000",0.7,1.05,29,147,-0.100000024,-8.695655,2023-04-14 10:36:02,1.05,0.14103031829834,FALSE,4725,TRUE,1e-05,659.65,2022-11-23 11:55:20,0,0,638,4,0,0,"SPX230616P04725000"
"268",268,"SPXW230616C04750000",0.6,0.8,36,363,0,0,2023-04-05 11:00:40,1.25,0.140877731933594,FALSE,4750,TRUE,0.424177206039429,593,2023-02-06 10:15:16,0,0,0,2,708.8,703.9,"SPXW230616P04750000"
"269",269,"SPX230616C04775000",0.45,0.65,100,1901,0,0,2023-04-13 14:26:23,0.8,0.141854284667969,FALSE,4775,TRUE,1e-05,750.54,2022-11-16 14:16:40,0,0,960,21,0,0,"SPX230616P04775000"
"270",270,"SPXW230616C04800000",0.4,0.6,35,497,0.03999999,9.756096,2023-04-14 14:23:53,0.45,0.145028081054688,FALSE,4800,TRUE,1e-05,792.34,2023-03-23 14:02:04,0,0,9,2,624.7,621.2,"SPXW230616P04800000"
"271",271,"SPX230616C04825000",0.25,0.5,180,1211,-0.049999982,-11.111108,2023-04-14 11:50:55,0.4,0.146370841064453,FALSE,4825,TRUE,1e-05,898.2,2022-11-10 08:35:19,0,0,164,1,0,0,"SPX230616P04825000"
"272",272,"SPXW230616C04850000",0.25,0.45,79,202,0,0,2023-04-13 09:54:38,0.35,0.148934291992187,FALSE,4850,TRUE,1e-05,838.63,2022-07-21 13:50:11,0,0,33,32,630.1,623,"SPX230616P04850000"
"273",273,"SPXW230616C04875000",0.2,0.45,73,204,0,0,2023-04-05 10:45:48,0.55,0.15314567565918,FALSE,4875,TRUE,1e-05,877.1,2023-03-24 14:18:46,0,0,552,70,700.3,694.3,"SPX230616P04875000"
"274",274,"SPXW230616C04900000",0.15,0.4,39,922,0,0,2023-04-05 10:10:59,0.45,0.155403953857422,FALSE,4900,TRUE,0.600618541584015,983.17,2022-12-20 14:13:34,0,0,309,20,936.6,919.9,"SPX230616P04900000"
"275",275,"SPXW230616C04925000",0.15,0.45,133,136,0,0,2023-03-07 14:14:00,0.6,0.161568442993164,FALSE,4925,TRUE,1e-05,942.19,2022-07-26 13:35:18,0,0,0,NA,705.4,698.5,"SPX230616P04925000"
"276",276,"SPXW230616C04950000",0.15,0.3,90,145,0,0,2023-03-16 09:44:56,0.25,0.158821888427734,FALSE,4950,TRUE,0.638347427597046,831.04,2023-02-17 09:44:58,0,0,271,1,993.8,986.2,"SPX230616P04950000"
